mesh_code_3rd	osm_road_length	diff_length	diff_percentage	wkt
54390112	2698.43638023493	-162	-6.40	MULTIPOLYGON(((139.150000000002 36.0083333357336,139.150000000002 36.0166666690672,139.162500000002 36.0166666690672,139.162500000002 36.0083333357336,139.150000000002 36.0083333357336)))
54390113	4698.57393363534	-535	-12.86	MULTIPOLYGON(((139.162500000002 36.0083333357336,139.162500000002 36.0166666690672,139.175000000002 36.0166666690672,139.175000000002 36.0083333357336,139.162500000002 36.0083333357336)))
54390114	4250.21555878705	-1337	-45.90	MULTIPOLYGON(((139.175000000002 36.0083333357336,139.175000000002 36.0166666690672,139.187500000002 36.0166666690672,139.187500000002 36.0083333357336,139.175000000002 36.0083333357336)))
54390115	3346.90171451959	-676	-25.35	MULTIPOLYGON(((139.187500000002 36.0083333357336,139.187500000002 36.0166666690672,139.200000000002 36.0166666690672,139.200000000002 36.0083333357336,139.187500000002 36.0083333357336)))
54390116	2551.14309997722	-567	-28.58	MULTIPOLYGON(((139.200000000002 36.0083333357336,139.200000000002 36.0166666690672,139.212500000002 36.0166666690672,139.212500000002 36.0083333357336,139.200000000002 36.0083333357336)))
54390117	4033.60613391976	-3819	-1784.86	MULTIPOLYGON(((139.212500000002 36.0083333357336,139.212500000002 36.0166666690672,139.225000000002 36.0166666690672,139.225000000002 36.0083333357336,139.212500000002 36.0083333357336)))
54390118	5497.79361193991	-554	-11.22	MULTIPOLYGON(((139.225000000002 36.0083333357336,139.225000000002 36.0166666690672,139.237500000002 36.0166666690672,139.237500000002 36.0083333357336,139.225000000002 36.0083333357336)))
54390119	3587.08692436899	-700	-24.24	MULTIPOLYGON(((139.237500000002 36.0083333357336,139.237500000002 36.0166666690672,139.250000000002 36.0166666690672,139.250000000002 36.0083333357336,139.237500000002 36.0083333357336)))
54390120	3602.48774852639	-1115	-44.85	MULTIPOLYGON(((139.125000000002 36.0166666690672,139.125000000002 36.0250000024009,139.137500000002 36.0250000024009,139.137500000002 36.0166666690672,139.125000000002 36.0166666690672)))
54390121	7442.39217958658	-2425	-48.34	MULTIPOLYGON(((139.137500000002 36.0166666690672,139.137500000002 36.0250000024009,139.150000000002 36.0250000024009,139.150000000002 36.0166666690672,139.137500000002 36.0166666690672)))
54390122	3663.20475265713	-2411	-192.58	MULTIPOLYGON(((139.150000000002 36.0166666690672,139.150000000002 36.0250000024009,139.162500000002 36.0250000024009,139.162500000002 36.0166666690672,139.150000000002 36.0166666690672)))
54390123	5946.6155088326	-1440	-31.97	MULTIPOLYGON(((139.162500000002 36.0166666690672,139.162500000002 36.0250000024009,139.175000000002 36.0250000024009,139.175000000002 36.0166666690672,139.162500000002 36.0166666690672)))
54390124	2688.08195129674	-1718	-177.12	MULTIPOLYGON(((139.175000000002 36.0166666690672,139.175000000002 36.0250000024009,139.187500000002 36.0250000024009,139.187500000002 36.0166666690672,139.175000000002 36.0166666690672)))
54390125	1146.03166084191	-113	-10.94	MULTIPOLYGON(((139.187500000002 36.0166666690672,139.187500000002 36.0250000024009,139.200000000002 36.0250000024009,139.200000000002 36.0166666690672,139.187500000002 36.0166666690672)))
54390126	3573.16273209476	-42	-1.19	MULTIPOLYGON(((139.200000000002 36.0166666690672,139.200000000002 36.0250000024009,139.212500000002 36.0250000024009,139.212500000002 36.0166666690672,139.200000000002 36.0166666690672)))
